global_sales_in_millions,na_sales_in_millions,pal_sales_in_millions,japan_sales_in_millions,other_sales_in_millions,total_shipped_in_millions,game_id
4.73,2.36,2.1,0.02,0.25,0.0,43
4.67,1.94,1.95,0.08,0.7,0.0,44
4.63,2.29,1.97,0.13,0.24,0.0,45
0.0,0.0,0.0,0.0,0.0,4.62,46
0.0,0.0,0.0,0.0,0.0,4.52,47
4.48,2.71,1.51,0.03,0.23,0.0,48
0.0,0.0,0.0,0.0,0.0,4.3,49
4.28,2.26,1.33,0.07,0.63,0.0,50
0.0,0.0,0.0,0.0,0.0,4.24,51
4.23,1.41,2.03,0.1,0.69,0.0,52
4.22,2.28,1.47,0.04,0.44,0.0,53
0.0,0.0,0.0,0.0,0.0,4.18,54
0.0,0.0,0.0,0.0,0.0,4.16,55
4.16,3.79,0.27,0.0,0.11,0.0,56
4.14,1.25,2.16,0.09,0.65,0.0,57
4.11,1.65,1.68,0.11,0.66,0.0,58
4.06,1.22,2.11,0.11,0.63,0.0,59
0.0,0.0,0.0,0.0,0.0,4.0,60
0.0,0.0,0.0,0.0,0.0,4.0,61
0.0,0.0,0.0,0.0,0.0,4.0,62
3.95,1.44,1.73,0.15,0.62,0.0,63
0.0,0.0,0.0,0.0,0.0,3.83,64
0.0,0.0,0.0,0.0,0.0,3.7,65
0.0,0.0,0.0,0.0,0.0,3.6,66
3.6,0.9,2.06,0.08,0.55,0.0,67
3.58,2.34,0.9,0.0,0.34,0.0,68
3.54,1.56,1.4,0.07,0.5,0.0,69
3.54,1.23,1.77,0.05,0.49,0.0,70
3.54,2.24,0.95,0.02,0.33,0.0,71
3.53,2.87,0.39,0.03,0.25,0.0,72
3.53,1.98,1.14,0.01,0.41,0.0,73
3.53,2.13,0.93,0.12,0.34,0.0,74
3.52,1.96,1.33,0.0,0.23,0.0,75
0.0,0.0,0.0,0.0,0.0,3.5,76
0.0,0.0,0.0,0.0,0.0,3.5,77
0.0,0.0,0.0,0.0,0.0,3.47,78
3.42,1.13,2.07,0.0,0.22,0.0,79
3.41,1.75,1.2,0.02,0.43,0.0,80
3.36,0.98,1.74,0.12,0.52,0.0,81
0.0,0.0,0.0,0.0,0.0,3.33,82
3.32,1.47,1.39,0.03,0.43,0.0,83
3.28,1.5,1.28,0.05,0.46,0.0,84
3.27,1.89,1.05,0.02,0.31,0.0,85
0.0,0.0,0.0,0.0,0.0,3.26,86
0.0,0.0,0.0,0.0,0.0,3.2,87
3.19,1.03,1.6,0.05,0.51,0.0,88
3.18,1.78,1.12,0.09,0.19,0.0,89
3.13,1.7,1.25,0.02,0.16,0.0,90
3.12,0.88,0.97,0.88,0.39,0.0,91
3.07,1.98,0.79,0.02,0.28,0.0,92
0.0,0.0,0.0,0.0,0.0,3.06,93
3.04,0.97,1.15,0.5,0.42,0.0,94
3.02,1.85,1.04,0.0,0.13,0.0,95
0.0,0.0,0.0,0.0,0.0,3.0,96
0.0,0.0,0.0,0.0,0.0,3.0,97
0.0,0.0,0.0,0.0,0.0,3.0,98
0.0,0.0,0.0,0.0,0.0,3.0,99
2.96,1.36,1.15,0.04,0.41,0.0,100
0.0,0.0,0.0,0.0,0.0,2.9,101
2.85,1.87,0.57,0.11,0.3,0.0,102
0.0,0.0,0.0,0.0,0.0,2.81,103
0.0,0.0,0.0,0.0,0.0,2.8,104
