developer_id,developer
116,Midway Games West
117,Activision
118,Hudson Soft
119,Unknown
120,K2 LLC
121,Amaze Entertainment
122,Mercury Steam
123,Rockstar Vancouver/Mad Doc Software
124,Headgate
125,Visceral Games
126,Digital Eclipse
127,Vigil Games
128,DreamWorks Interactive
129,Studio Wildcard
130,Dodge Roll
131,"mixi, Inc"
132,Triternion
133,Mindscape Inc.
134,SquareSoft
135,QLOC
136,Double Fine Productions
137,Overworks
138,1st Playable Productions / OneNine Studios
139,Konami Computer Entertainment Tokyo
140,Rockstar Vancouver
141,Parker Bros.
142,Tantalus Interactive
143,Epic Games
144,n-Space
145,Rockstar Toronto
146,Red Fly Studio
147,Paradox Interactive
148,Game Refuge
149,Artificial Mind and Movement
150,Eat Sleep Play
151,Mystique
152,Gorilla Systems
153,Monkey Bar Games
154,20th Century Fox Video Games
155,Messhof
156,Men-A-Vision
157,David A. Palmer Productions
158,Incognito Inc.
159,Pandemic Studios
160,Bright Light Productions
161,Game Republic
162,Fish Factory Games
163,Edge of Reality
164,Project ACES
165,Raven Software
166,Eurocom Entertainment Software
167,Takara
168,DrinkBox Studios
169,Kronos Digital Entertainment
170,Altron
171,Pacific Coast Power & Light
172,Rare Ltd.
173,SourceNext
174,Virtucraft
175,Bizarre Creations
176,Luxoflux Corp.
177,Tigervision
178,Midway Studios Los Angeles
179,7 Studios
180,Secret Level
181,Grasshopper Manufacture
182,SCEE London Studio
183,Mattel
184,Tecmo Koei Games
185,TOSE
186,Savage Entertainment
187,Epicenter Studios
188,GenePool
189,SuperVillain Studios
190,Kalisto Entertainment
191,Universal Gamex
192,Clover Studio
193,Wizard Video Games
194,Shift
195,Webfoot Technologies
196,Appaloosa Interactive
197,Shiver Games
198,High Moon Studios
199,Coleco
200,Runecraft
201,Incinerator Studios
202,High Impact Games
203,Black Ops Entertainment
204,Trion Worlds
205,Ubisoft Romania
206,Level 5
207,Namco Bandai
208,Natsume
209,Capcom Production Studio 1
210,Steel Monkeys
211,EXAKT Entertainment
212,Angel Studios
213,Rockstar London
214,Deep Space
215,Banpresto
216,Atari Games
217,EA Bright Light
218,Keen Games
219,Criterion Games
220,WXP
221,X-ample
222,Take-Two Interactive
223,Factor 5
224,Now Production
225,Shaba Games
226,Answer Software
227,Frictional Games
228,Team17 Software
229,Cyanide Studios
230,Hazelight
231,IllFonic
232,Black Lantern Studios
233,Data East
234,Artoon
235,Ubisoft Casablanca
236,Silicon Knights
237,Tecmo
238,Buzz Monkey
239,SCE San Diego Studio
240,Software Creations
241,BioWare
242,Haemimont Games
243,Torus Games
244,Spike Chunsoft
245,Saffire Corporation
246,Bandai
247,Double Helix Games
248,Behaviour Interactive Inc.
249,Point of View
250,United Front Games
251,Genuine Games
252,The Creative Assembly
253,Papaya Studio Corporation
254,Beenox Studios
255,Cave Barn
256,SCEE Cambridge
257,THQ
258,CyberConnect2
259,Aspect
260,Dynamic Pixels
261,Propaganda Games
262,THQ Australia
263,Etranges Libellules
264,Cavia Inc.
265,Traveller's Tales / Heavy Iron Studios
266,Ubisoft Bucharest
267,Tempest Software
268,Collision Studios
269,CRI
270,"Z-Axis, Ltd."
271,Titus Software
272,Paradigm Entertainment
273,Midway
274,EA Redwood Shores
275,Shaba Games / Treyarch
276,"Pipeworks Software, Inc."
277,Zen Studios Inc.
278,Firebrand Games
279,"Sega Studios, San Francisco"
280,Sand Grain Studios
281,Data Age
282,Red Tribe
283,A2M
284,Amuze
285,Climax
286,Idol Minds
287,Quebec City
288,Next Level Games
289,Terraglyph Interactive Studios
290,Imagic
291,Zombie Studios
292,Ocean
293,Konami Computer Entertainment Osaka
294,Mass Media
295,Nintendo EPD
296,CokeM Interactive
297,Bandai Namco Games
298,Airtight Games
299,Pocket Studios
300,Acid Nerve
301,Destination Software
302,Transhuman Design
303,Sennari Interactive
304,Gem International Corporation
305,TOSE Software
306,Tantatus Interactive
307,Nihilistic Software
308,DONTNOD Entertainment
309,Delphine Software International
310,From Software
311,Smart Bomb Interactive
312,Amaze Entertainment / Griptonite Games
313,Amusement Vision
314,City Interactive
315,Parker Bros
316,Starpath Corp.
317,Namco Bandai Games
318,Barking Lizards Technologies LLC
319,Riverhillsoft
320,Triumph Studios
321,Pipe Dream Interactive
322,Bec
323,Avanquest Software
324,Tamsoft
325,The Sims Studio
326,CBS Electronics
327,Mucky Foot Productions
328,Gameloft
329,Capcom Production Studio 6
330,WayForward Technologies
331,Koei
332,Q Entertainment / Phantagram
333,Soleil Software Studio Inc.
334,Spike
335,Electronic Arts
336,Telesys
337,Blue Tongue
338,Lince Works
339,Capcom Production Studio 1 / TOSE Software
340,Creat Studios
341,Red Storm Entertainment
342,Taito
343,Hamster
344,Zindagi Games
345,Warthog
346,Quantic Dream
347,Ignition Entertainment
348,Sidhe Interactive
349,Disney Interactive
350,Rockstar Toronto / Leeds
351,Acclaim Studios Teesside
352,Night Node Software
353,Marvelous Entertainment
354,Majesco Games
355,Human Head Studios
356,EA Tiburon
357,Access Games
358,Human Soft
359,Oddworld Inhabitants
360,PlayStation C.A.M.P.!
361,Amaze
362,NeoCoreGames
363,WolfgangIs
364,Realtime Associates
365,Beenox
366,Blastoid Entertainment
367,Gunfire Games
368,Dunhill Electronic Media Corp
369,DL Softworks
370,Sony Computer Entertainment
371,Wheelhaus
372,Reality Pump Studios
373,Powerhoof
374,Adrenium
375,Sugar & Rockets
376,Digital Illusions
377,Headstrong Games
378,Guerrilla Cambridge
379,Phoenix Games
380,Gray Matter Inc.
381,Game Republik
382,Konami Digital Entertainment
383,Way Forward Technologies
384,Bits Studios
385,Bomb
386,ArtDink
387,Takara Tomy
388,Rebellion Developments
389,Rainbow Studios
390,Red Barrels
391,Spiders
392,Salu Ltd.
393,Alpha Unit
394,Swing Swing Submarine
395,Ion Storm
396,Smilebit
397,Expansive Worlds
398,Kadokawa Games
399,Cranky Pants Games
400,Full Fat
401,SCE Japan Studio
402,Pyro Studios
403,Omega Force / Koei Canada
404,Madmind Studio
405,Eighting
406,FeelPlus
407,Pivotal Games
408,TDK Mediactive
409,Codemasters
410,Phoenix Games Studio
411,Destineer
412,BottleRocket Entertainment
413,Behaviour Studios
414,Tecmo Koei Canada
415,DECK13 Interactive
416,Dark Energy Digital
417,D3 Publisher
418,"Sound Source Interactive, Inc."
419,2K Games
420,GameMill
421,QUICKTEQUILA
422,FUN Labs
423,Nippon Columbia
424,Project Soul
425,BottleRocket
